Characteristic,Outcome,Group A,N_A,Mean_A,Group B,N_B,Mean_B,Diff (A−B),t,p,Significant (p<0.05),q (BH-FDR),Significant (FDR<0.05)
Education,% adherent (≥80%),College (16 yrs),5024,29.04,All other person-years,23436,26.96,2.08,2.962,0.0031,True,0.0064,True
Education,Adherence ratio (%),17+ years,3870,61.28,All other person-years,24590,60.36,0.93,1.992,0.0464,True,0.0729,False
Education,% adherent (≥80%),17+ years,3870,28.68,All other person-years,24590,27.11,1.57,2.011,0.0444,True,0.0708,False
Education,Adherence ratio (%),Less than high school,5023,57.2,High school (12 yrs),8140,61.35,-4.15,-8.465,0.0,True,0.0,True
Education,% adherent (≥80%),Less than high school,5023,24.61,High school (12 yrs),8140,27.52,-2.91,-3.714,0.0002,True,0.0005,True
Education,Adherence ratio (%),Less than high school,5023,57.2,Some college (13–15),6403,60.7,-3.5,-6.797,0.0,True,0.0,True
Education,% adherent (≥80%),Less than high school,5023,24.61,Some college (13–15),6403,27.05,-2.44,-2.968,0.003,True,0.0063,True
Education,Adherence ratio (%),Less than high school,5023,57.2,College (16 yrs),5024,61.46,-4.26,-7.792,0.0,True,0.0,True
Education,% adherent (≥80%),Less than high school,5023,24.61,College (16 yrs),5024,29.04,-4.43,-5.021,0.0,True,0.0,True
Education,Adherence ratio (%),Less than high school,5023,57.2,17+ years,3870,61.28,-4.08,-6.988,0.0,True,0.0,True
Education,% adherent (≥80%),Less than high school,5023,24.61,17+ years,3870,28.68,-4.08,-4.3,0.0,True,0.0,True
Education,Adherence ratio (%),High school (12 yrs),8140,61.35,Some college (13–15),6403,60.7,0.65,1.473,0.1407,False,0.201,False
Education,% adherent (≥80%),High school (12 yrs),8140,27.52,Some college (13–15),6403,27.05,0.47,0.63,0.5287,False,0.6344,False
Education,Adherence ratio (%),High school (12 yrs),8140,61.35,College (16 yrs),5024,61.46,-0.11,-0.232,0.8167,False,0.8722,False
Education,% adherent (≥80%),High school (12 yrs),8140,27.52,College (16 yrs),5024,29.04,-1.52,-1.88,0.0601,False,0.0936,False
Education,Adherence ratio (%),High school (12 yrs),8140,61.35,17+ years,3870,61.28,0.07,0.13,0.8963,False,0.9331,False
Education,% adherent (≥80%),High school (12 yrs),8140,27.52,17+ years,3870,28.68,-1.16,-1.323,0.1859,False,0.2599,False
Education,Adherence ratio (%),Some college (13–15),6403,60.7,College (16 yrs),5024,61.46,-0.76,-1.513,0.1303,False,0.1878,False
Education,% adherent (≥80%),Some college (13–15),6403,27.05,College (16 yrs),5024,29.04,-1.99,-2.349,0.0189,True,0.0328,True
Education,Adherence ratio (%),Some college (13–15),6403,60.7,17+ years,3870,61.28,-0.58,-1.073,0.2834,False,0.379,False
Education,% adherent (≥80%),Some college (13–15),6403,27.05,17+ years,3870,28.68,-1.63,-1.784,0.0744,False,0.1137,False
Education,Adherence ratio (%),College (16 yrs),5024,61.46,17+ years,3870,61.28,0.18,0.312,0.7554,False,0.82,False
Education,% adherent (≥80%),College (16 yrs),5024,29.04,17+ years,3870,28.68,0.36,0.37,0.7115,False,0.7875,False
Income group,Adherence ratio (%),Poor,4603,58.55,All other person-years,24088,60.76,-2.21,-5.132,0.0,True,0.0,True
Income group,% adherent (≥80%),Poor,4603,24.51,All other person-years,24088,27.81,-3.3,-4.738,0.0,True,0.0,True
Income group,Adherence ratio (%),Near poor,1518,60.35,All other person-years,27173,60.41,-0.06,-0.078,0.9378,False,0.9522,False
Income group,% adherent (≥80%),Near poor,1518,27.67,All other person-years,27173,27.25,0.41,0.35,0.7264,False,0.7968,False
Income group,Adherence ratio (%),Low income,4000,60.76,All other person-years,24691,60.35,0.41,0.911,0.3622,False,0.4651,False
Income group,% adherent (≥80%),Low income,4000,27.9,All other person-years,24691,27.18,0.72,0.948,0.3431,False,0.4493,False
Income group,Adherence ratio (%),Middle income,7785,60.7,All other person-years,20906,60.29,0.4,1.128,0.2595,False,0.3524,False
Income group,% adherent (≥80%),Middle income,7785,27.54,All other person-years,20906,27.18,0.36,0.61,0.542,False,0.6457,False
Income group,Adherence ratio (%),High income,10785,60.86,All other person-years,17906,60.13,0.73,2.215,0.0268,True,0.0447,True
Income group,% adherent (≥80%),High income,10785,27.98,All other person-years,17906,26.85,1.13,2.079,0.0377,True,0.061,False
Income group,Adherence ratio (%),Poor,4603,58.55,Near poor,1518,60.35,-1.8,-2.244,0.0249,True,0.0417,True
Income group,% adherent (≥80%),Poor,4603,24.51,Near poor,1518,27.67,-3.16,-2.41,0.016,True,0.0287,True
Income group,Adherence ratio (%),Poor,4603,58.55,Low income,4000,60.76,-2.21,-3.836,0.0001,True,0.0003,True
Income group,% adherent (≥80%),Poor,4603,24.51,Low income,4000,27.9,-3.39,-3.568,0.0004,True,0.001,True
Income group,Adherence ratio (%),Poor,4603,58.55,Middle income,7785,60.7,-2.15,-4.309,0.0,True,0.0,True
Income group,% adherent (≥80%),Poor,4603,24.51,Middle income,7785,27.54,-3.03,-3.74,0.0002,True,0.0005,True
Income group,Adherence ratio (%),Poor,4603,58.55,High income,10785,60.86,-2.31,-4.891,0.0,True,0.0,True
Income group,% adherent (≥80%),Poor,4603,24.51,High income,10785,27.98,-3.48,-4.532,0.0,True,0.0,True
Income group,Adherence ratio (%),Near poor,1518,60.35,Low income,4000,60.76,-0.41,-0.502,0.6159,False,0.7082,False
Income group,% adherent (≥80%),Near poor,1518,27.67,Low income,4000,27.9,-0.23,-0.172,0.8635,False,0.9046,False
Income group,Adherence ratio (%),Near poor,1518,60.35,Middle income,7785,60.7,-0.35,-0.455,0.6492,False,0.7387,False
Income group,% adherent (≥80%),Near poor,1518,27.67,Middle income,7785,27.54,0.13,0.102,0.9189,False,0.9407,False
Income group,Adherence ratio (%),Near poor,1518,60.35,High income,10785,60.86,-0.51,-0.68,0.4965,False,0.6137,False
Income group,% adherent (≥80%),Near poor,1518,27.67,High income,10785,27.98,-0.32,-0.257,0.7973,False,0.8542,False
Income group,Adherence ratio (%),Low income,4000,60.76,Middle income,7785,60.7,0.06,0.12,0.9047,False,0.9359,False
Income group,% adherent (≥80%),Low income,4000,27.9,Middle income,7785,27.54,0.36,0.413,0.6797,False,0.7618,False
Income group,Adherence ratio (%),Low income,4000,60.76,High income,10785,60.86,-0.1,-0.198,0.843,False,0.8888,False
Income group,% adherent (≥80%),Low income,4000,27.9,High income,10785,27.98,-0.08,-0.1,0.9201,False,0.9407,False
Income group,Adherence ratio (%),Middle income,7785,60.7,High income,10785,60.86,-0.16,-0.399,0.6898,False,0.769,False
Income group,% adherent (≥80%),Middle income,7785,27.54,High income,10785,27.98,-0.44,-0.666,0.5056,False,0.618,False
Insurance,Adherence ratio (%),Private,15961,60.14,All other person-years,12730,60.73,-0.58,-1.831,0.0671,False,0.1035,False
Insurance,% adherent (≥80%),Private,15961,27.59,All other person-years,12730,26.89,0.7,1.318,0.1876,False,0.2612,False
Insurance,Adherence ratio (%),Public,11990,61.25,All other person-years,16701,59.8,1.45,4.541,0.0,True,0.0,True
Insurance,% adherent (≥80%),Public,11990,27.24,All other person-years,16701,27.3,-0.06,-0.121,0.9039,False,0.9359,False
Insurance,Adherence ratio (%),Uninsured,740,52.28,All other person-years,27951,60.62,-8.34,-7.675,0.0,True,0.0,True
Insurance,% adherent (≥80%),Uninsured,740,21.22,All other person-years,27951,27.44,-6.22,-4.073,0.0001,True,0.0003,True
